WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
1209,12,9,JULY,7,"19,20"
1209,12,9,AUGUST,8,"16,17"
1209,12,9,SEPTEMBER,9,"14,17"
1209,12,9,OCTOBER,10,"15,16"
1209,12,9,NOVEMBER,11,"12,13"
1210,12,10,APRIL,4,"26,27"
1210,12,10,MAY,5,"24,25"
1210,12,10,JUNE,6,"22,25"
1210,12,10,JULY,7,"23,24"
1210,12,10,AUGUST,8,"20,21"
1210,12,10,SEPTEMBER,9,"18,19"
1210,12,10,OCTOBER,10,"17,18"
1210,12,10,NOVEMBER,11,"15,16"
1301,13,1,APRIL,4,"2,3"
1301,13,1,JUNE,6,"18,19"
1301,13,1,SEPTEMBER,9,"4,5"
1302,13,2,APRIL,4,"4,5"
1302,13,2,JUNE,6,"20,21"
1302,13,2,SEPTEMBER,9,"6,7"
1303,13,3,APRIL,4,"6,9"
1303,13,3,JUNE,6,"22,25"
1303,13,3,SEPTEMBER,9,"10,11"
1304,13,4,APRIL,4,"10,11"
1304,13,4,JUNE,6,"26,27"
1304,13,4,SEPTEMBER,9,"12,13"
1305,13,5,APRIL,4,"12,13"
1305,13,5,JUNE,6,"28,29"
1305,13,5,SEPTEMBER,9,"14,17"
1306,13,6,APRIL,4,"16,17"
1306,13,6,JULY,7,"2,3"
1306,13,6,SEPTEMBER,9,"18,19"
1307,13,7,APRIL,4,"18,19"
1307,13,7,JULY,7,"5,6"
1307,13,7,SEPTEMBER,9,"20,21"
1308,13,8,APRIL,4,"20,23"
1308,13,8,JULY,7,"9,10"
1308,13,8,SEPTEMBER,9,"24,25"
1309,13,9,APRIL,4,"24,25"
1309,13,9,JULY,7,"11,12"
1309,13,9,SEPTEMBER,9,"26,27"
1310,13,10,APRIL,4,"26,27"
1310,13,10,JULY,7,"13,16"
1310,13,10,SEPTEMBER,9,28
1310,13,10,OCTOBER,10,1
1311,13,11,APRIL,4,30
1311,13,11,MAY,5,1
1311,13,11,JULY,7,"17,18"
1311,13,11,OCTOBER,10,"2,3"
1312,13,12,MAY,5,"2,3"
1312,13,12,JULY,7,"19,20"
1312,13,12,OCTOBER,10,"4,5"
1313,13,13,MAY,5,"4,7"
1313,13,13,JULY,7,"23,24"
1313,13,13,OCTOBER,10,"9,10"
1314,13,14,MAY,5,"8,9"
1314,13,14,JULY,7,"25,26"
1314,13,14,OCTOBER,10,"11,12"
1315,13,15,MAY,5,"10,11"
1315,13,15,JULY,7,"27,30"
1315,13,15,OCTOBER,10,"15,16"
1316,13,16,MAY,5,"14,15"
1316,13,16,JULY,7,31
1316,13,16,AUGUST,8,1
1316,13,16,OCTOBER,10,"17,18"
1317,13,17,MAY,5,"16,17"
1317,13,17,AUGUST,8,"2,3"
1317,13,17,OCTOBER,10,"19,22"
1318,13,18,MAY,5,"18,21"
1318,13,18,AUGUST,8,"6,7"
1318,13,18,OCTOBER,10,"23,24"
1319,13,19,MAY,5,"22,23"
1319,13,19,AUGUST,8,"8,9"
1319,13,19,OCTOBER,10,"25,26"
1320,13,20,MAY,5,"24,25"
1320,13,20,AUGUST,8,"10,13"
1320,13,20,OCTOBER,10,"29,30"
1321,13,21,MAY,5,"29,30"
1321,13,21,AUGUST,8,"14,15"
1321,13,21,OCTOBER,10,31
1321,13,21,NOVEMBER,11,1
1322,13,22,MAY,5,31
1322,13,22,JUNE,6,1
1322,13,22,AUGUST,8,"16,17"
1322,13,22,NOVEMBER,11,"2,5"
1323,13,23,JUNE,6,"4,5"
1323,13,23,AUGUST,8,"20,21"
1323,13,23,NOVEMBER,11,"6,7"
1324,13,24,JUNE,6,"6,7"
1324,13,24,AUGUST,8,"22,23"
1324,13,24,NOVEMBER,11,"8,9"
1325,13,25,JUNE,6,"8,11"
1325,13,25,AUGUST,8,"24,27"
1325,13,25,NOVEMBER,11,"12,13"
1326,13,26,JUNE,6,"12,13"
1326,13,26,AUGUST,8,"28,29"
1326,13,26,NOVEMBER,11,"14,15"
1327,13,27,JUNE,6,"14,15"
1327,13,27,AUGUST,8,"30,31"
1327,13,27,NOVEMBER,11,"15,16"
1401,14,1,APRIL,4,"2,3"
1401,14,1,MAY,5,"16,17"
1401,14,1,JULY,7,"2,3"
1401,14,1,AUGUST,8,"16,17"
1401,14,1,OCTOBER,10,"2,3"
1401,14,1,NOVEMBER,11,1
1402,14,2,APRIL,4,"4,5"
1402,14,2,MAY,5,"18,21"
1402,14,2,JULY,7,"5,6"
1402,14,2,AUGUST,8,"20,21"
1402,14,2,OCTOBER,10,"4,5"
1403,14,3,APRIL,4,"6,9"
1403,14,3,MAY,5,"22,23"
1403,14,3,JULY,7,"9,10"
1403,14,3,AUGUST,8,"22,23"
1403,14,3,OCTOBER,10,"9,10"
1404,14,4,APRIL,4,"10,11"
1404,14,4,MAY,5,"24,25"
1404,14,4,JULY,7,"11,12"
1404,14,4,AUGUST,8,"24,27"
1404,14,4,OCTOBER,10,"11,12"
1405,14,5,APRIL,4,"12,13"
1405,14,5,MAY,5,"29,30"
1405,14,5,JULY,7,"13,16"
1405,14,5,AUGUST,8,"28,29"
1405,14,5,OCTOBER,10,"15,16"
1406,14,6,APRIL,4,"16,17"
1406,14,6,MAY,5,31
1406,14,6,JUNE,6,1
1406,14,6,JULY,7,"17,18"
1406,14,6,AUGUST,8,"30,31"
1406,14,6,OCTOBER,10,"17,18"
1407,14,7,APRIL,4,"18,19"
1407,14,7,JUNE,6,"4,5"
1407,14,7,JULY,7,"19,20"
1407,14,7,SEPTEMBER,9,"4,5"
1407,14,7,OCTOBER,10,"19,22"
1408,14,8,APRIL,4,"20,23"
1408,14,8,JUNE,6,"6,7"
1408,14,8,JULY,7,"23,24"
1408,14,8,SEPTEMBER,9,"6,7"
1408,14,8,OCTOBER,10,"23,24"
1409,14,9,APRIL,4,"24,25"
1409,14,9,JUNE,6,"8,11"
1409,14,9,JULY,7,"25,26"
1409,14,9,SEPTEMBER,9,"10,11"
1409,14,9,OCTOBER,10,"25,26"
1410,14,10,APRIL,4,"26,27"
1410,14,10,JUNE,6,"12,13"
1410,14,10,JULY,7,"27,30"
1410,14,10,SEPTEMBER,9,"12,13"
1410,14,10,OCTOBER,10,"29,30"
1411,14,11,APRIL,4,11
1411,14,11,MAY,5,1
1411,14,11,JUNE,6,"14,15"
1411,14,11,JULY,7,31
1411,14,11,AUGUST,8,1
1411,14,11,SEPTEMBER,9,"14,17"
1411,14,11,OCTOBER,10,31
1411,14,11,NOVEMBER,11,1
1412,14,12,MAY,5,"2,3"
1412,14,12,JUNE,6,"18,19"
1412,14,12,AUGUST,8,"2,3"
1412,14,12,SEPTEMBER,9,"18,19"
1412,14,12,NOVEMBER,11,"2,5"
1413,14,13,MAY,5,"4,7"
1413,14,13,JUNE,6,"20,21"
1413,14,13,AUGUST,8,"6,7"
1413,14,13,SEPTEMBER,9,"20,21"
1413,14,13,NOVEMBER,11,"6,7"
1414,14,14,MAY,5,"8,9"
1414,14,14,JUNE,6,"22,25"
1414,14,14,AUGUST,8,"8,9"
1414,14,14,SEPTEMBER,9,"24,25"
1414,14,14,NOVEMBER,11,"8,9"
1415,14,15,MAY,5,"10,11"
1415,14,15,JUNE,6,"26,27"
1415,14,15,AUGUST,8,"10,13"
1415,14,15,SEPTEMBER,9,"26,27"
1415,14,15,NOVEMBER,11,"12,13"
1416,14,16,MAY,5,"14,15"
1416,14,16,JUNE,6,"28,29"
1416,14,16,AUGUST,8,"14,15"
1416,14,16,SEPTEMBER,9,28
1416,14,16,OCTOBER,10,1
1416,14,16,NOVEMBER,11,"14,15"
1501,15,1,APRIL,4,"2,3,30"
1501,15,1,MAY,5,"1,29,30"
1501,15,1,JUNE,6,"26,27"
1501,15,1,JULY,7,"25,26"
1501,15,1,AUGUST,8,"22,23"
1501,15,1,SEPTEMBER,9,"20,21"
1501,15,1,OCTOBER,10,"19,22"
1502,15,2,APRIL,4,"4,5"
1502,15,2,MAY,5,"2,3,31"
1502,15,2,JUNE,6,"1,28,29"
1502,15,2,JULY,7,"27,30"
1502,15,2,AUGUST,8,"24,27"
1502,15,2,SEPTEMBER,9,"24,25"
1502,15,2,OCTOBER,10,"23,24"
1503,15,3,APRIL,4,"6,9"
1503,15,3,MAY,5,"4,7"
1503,15,3,JUNE,6,"4,5"
1503,15,3,JULY,7,"2,3,31"
1503,15,3,AUGUST,8,"1,28,29"
1503,15,3,SEPTEMBER,9,"26,27"
1503,15,3,OCTOBER,10,"25,26"
1504,15,4,APRIL,4,"10,11"
1504,15,4,MAY,5,"8,9"
1504,15,4,JUNE,6,"6,7"
1504,15,4,JULY,7,"5,6"
1504,15,4,AUGUST,8,"2,3,30,31"
1504,15,4,SEPTEMBER,9,28
1504,15,4,OCTOBER,10,"1,29,30"
1505,15,5,APRIL,4,"12,13"
1505,15,5,MAY,5,"10,11"
1505,15,5,JUNE,6,"8,11"
1505,15,5,JULY,7,"9,10"
1505,15,5,AUGUST,8,"6,7"
1505,15,5,SEPTEMBER,9,"4,5"
1505,15,5,OCTOBER,10,"2,3,31"
1505,15,5,NOVEMBER,11,1
1506,15,6,APRIL,4,"16,17"
1506,15,6,MAY,5,"14,15"
1506,15,6,JUNE,6,"12,13"
1506,15,6,JULY,7,"11,12"
1506,15,6,AUGUST,8,"8,9"
1506,15,6,SEPTEMBER,9,"6,7"
1506,15,6,OCTOBER,10,"4,5"
1506,15,6,NOVEMBER,11,"2,5"
1507,15,7,APRIL,4,"18,19"
1507,15,7,MAY,5,"16,17"
1507,15,7,JUNE,6,"14,15"
1507,15,7,JULY,7,"13,16"
1507,15,7,AUGUST,8,"10,13"
1507,15,7,SEPTEMBER,9,"10,11"
1507,15,7,OCTOBER,10,"9,10"
1507,15,7,NOVEMBER,11,"6,7"
1508,15,8,APRIL,4,"20,23"
1508,15,8,MAY,5,"18,21"
1508,15,8,JUNE,6,"18,19"
1508,15,8,JULY,7,"17,18"
1508,15,8,AUGUST,8,"14,15"
1508,15,8,SEPTEMBER,9,"12,13"
1508,15,8,OCTOBER,10,"11,12"
1508,15,8,NOVEMBER,11,"8,9"
1509,15,9,APRIL,4,"24,25"
1509,15,9,MAY,5,"22,23"
1509,15,9,JUNE,6,"20,21"
1509,15,9,JULY,7,"19,20"
1509,15,9,AUGUST,8,"16,17"
1509,15,9,SEPTEMBER,9,"14,17"
1509,15,9,OCTOBER,10,"15,16"
1509,15,9,NOVEMBER,11,"12,13"
1510,15,10,APRIL,4,"26,27"
1510,15,10,MAY,5,"24,25"
1510,15,10,JUNE,6,"22,25"
1510,15,10,JULY,7,"23,24"
1510,15,10,AUGUST,8,"20,21"
1510,15,10,SEPTEMBER,9,"18,19"
1510,15,10,OCTOBER,10,"17,18"
1510,15,10,NOVEMBER,11,"14,15"
1601,16,1,APRIL,4,"2,3"
1601,16,1,MAY,5,"8,9"
1601,16,1,JUNE,6,"14,15"
1601,16,1,JULY,7,"23,24"
1601,16,1,AUGUST,8,"28,29"
1601,16,1,OCTOBER,10,"4,5"
1601,16,1,NOVEMBER,11,"12,13"
1602,16,2,APRIL,4,"4,5"
1602,16,2,MAY,5,"10,11"
1602,16,2,JUNE,6,"18,19"
1602,16,2,JULY,7,"25,26"
1602,16,2,AUGUST,8,"30,31"
1602,16,2,OCTOBER,10,"9,10"
1602,16,2,NOVEMBER,11,"14,15"
1603,16,3,APRIL,4,"6,9"
1603,16,3,MAY,5,"14,15"
1603,16,3,JUNE,6,"20,21"
1603,16,3,JULY,7,"27,30"
1603,16,3,SEPTEMBER,9,"4,5"
1603,16,3,OCTOBER,10,"11,12"
1603,16,3,NOVEMBER,11,16
1604,16,4,APRIL,4,"10,11"
1604,16,4,MAY,5,"16,17"
1604,16,4,JUNE,6,"22,25"
1604,16,4,JULY,7,31
1604,16,4,AUGUST,8,1
1604,16,4,SEPTEMBER,9,"6,7"
1604,16,4,OCTOBER,10,"15,16"
1605,16,5,APRIL,4,"12,13"
1605,16,5,MAY,5,"18,21"
1605,16,5,JUNE,6,"26,27"
1605,16,5,AUGUST,8,"2,3"
1605,16,5,SEPTEMBER,9,"10,11"
1605,16,5,OCTOBER,10,"17,18"
1606,16,6,APRIL,4,"16,17"
1606,16,6,MAY,5,"22,23"
1606,16,6,JUNE,6,"28,29"
1606,16,6,AUGUST,8,"6,7"
1606,16,6,SEPTEMBER,9,"12,13"
1606,16,6,OCTOBER,10,"19,22"
1607,16,7,APRIL,4,"18,19"
1607,16,7,MAY,5,"24,25"
1607,16,7,JULY,7,"2,3"
1607,16,7,AUGUST,8,"8,9"
1607,16,7,SEPTEMBER,9,"14,17"
1607,16,7,OCTOBER,10,"23,24"
1608,16,8,APRIL,4,"20,23"
1608,16,8,MAY,5,"29,30"
1608,16,8,JULY,7,"5,6"
1608,16,8,AUGUST,8,"10,13"
1608,16,8,SEPTEMBER,9,"18,19"
1608,16,8,OCTOBER,10,"25,26"
1609,16,9,APRIL,4,"24,25"
1609,16,9,MAY,5,31
1609,16,9,JUNE,6,1
1609,16,9,JULY,7,"9,10"
1609,16,9,AUGUST,8,"14,15"
1609,16,9,SEPTEMBER,9,"20,21"
1609,16,9,OCTOBER,10,"29,30"
1610,16,10,APRIL,4,"26,27"
1610,16,10,JUNE,6,"4,5"
1610,16,10,JULY,7,"11,12"
1610,16,10,AUGUST,8,"16,17"
1610,16,10,SEPTEMBER,9,"24,25"
1610,16,10,OCTOBER,10,31
1610,16,10,NOVEMBER,11,1
1611,16,11,APRIL,4,30
1611,16,11,MAY,5,1
1611,16,11,JUNE,6,"6,7"
1611,16,11,JULY,7,"13,16"
1611,16,11,AUGUST,8,"20,21"
1611,16,11,SEPTEMBER,9,"26,27"
1611,16,11,NOVEMBER,11,"2,5"
1612,16,12,MAY,5,"2,3"
